,0,1,2
TOTAL,1572.0,1185.0,1184.0
NIT_YES,1456.0,978.0,799.0
NIT_YES%,0.9262,0.8253,0.6748
NIT_NO,116.0,207.0,385.0
NIT_NO%,0.0738,0.1747,0.3252
NIT_APP%,89.63,91.0,90.24
SXT_YES,38.0,61.0,168.0
SXT_YES%,0.3276,0.2947,0.4364
SXT_NO,78.0,146.0,217.0
SXT_NO%,0.6724,0.7053,0.5636
SXT_APP%,89.47,81.97,85.71
CIP_YES,73.0,139.0,202.0
CIP_YES%,0.9359,0.9521,0.9309
CIP_NO,5.0,7.0,15.0
CIP_NO%,0.0641,0.0479,0.0691
CIP_APP%,93.15,91.37,91.58
LVX_YES,0.0,1.0,0.0
LVX_YES%,0.0,0.1429,0.0
LVX_NO,5.0,6.0,15.0
LVX_NO%,1.0,0.8571,1.0
LVX_APP%,100.0,0.0,100.0
DEFER,5.0,6.0,15.0
