NIT,SXT,CIP,LVX,iat_prop,broad_prop,iat_prop_decision,broad_prop_decision,iat_diff_mean,iat_diff_std,broad_diff_mean,broad_diff_std,defer_rate,NIT_thresh,SXT_thresh,CIP_thresh,LVX_thresh
0.001,0.001,0.001,0.001,0.0970371566499758,0.45023616967769425,0.03546777609293457,0.5789390655643484,-6.199999999999998,5.325410782277738,25.599999999999998,33.9711642426338,0.950692185136363,,,,
0.001,0.001,0.015,0.015,0.09259766952229458,0.4973153055358597,0.03083449168526416,0.8456090882293053,-16.35,6.215102573570287,133.25,39.47008360771487,0.8773253938973579,,,,
0.001,0.001,0.1,0.1,0.07823354765563592,0.6396405717308371,0.0293508005543315,0.9489311339900055,-49.25,8.9211826570248,459.15,45.96659112877526,0.6434051626176147,,,,
0.001,0.001,0.2,0.2,0.06833338925987131,0.7449205308876722,0.0314604270012455,0.9660999899742423,-71.9,11.82328211623152,700.15,31.225430341309966,0.46318951007073694,,,,
0.001,0.001,0.3,0.3,0.06172024040205152,0.8186528109681207,0.03328442280355127,0.9728110305938114,-87.05,10.121635243378412,868.9,31.937282288886134,0.3310275970867115,,,,
0.001,0.001,0.4,0.4,0.055515211499422776,0.8735932312856723,0.034153189129890404,0.9763210586023898,-101.25,10.353139620424328,994.65,38.64877100245233,0.2297662487572501,,,,
0.001,0.001,0.5,0.5,0.04999053351893879,0.9156844606318432,0.034436068966454667,0.9786618357521638,-113.9,10.820813278122861,1091.0,35.35958144548658,0.14558251032145508,,,,
0.001,0.001,0.6,0.6,0.04638833809925783,0.9468747192782253,0.03485748980282325,0.980231779072037,-122.15,10.973946418677285,1162.4,33.14875563275342,0.07768535304449216,,,,
0.001,0.001,0.7,0.7,0.04476720268557264,0.9663729854043266,0.03750207272883889,0.981151460076472,-125.85,10.762318523440944,1206.95,27.25889762994829,0.03222041246151224,,,,
0.001,0.001,0.8,0.8,0.04526849285099914,0.974565582451894,0.04152546098202608,0.9815346841388596,-124.7,12.02123121814068,1225.7,28.240219545888795,0.012070722945100865,,,,
